Gene_name,geneID,Rep. 1,Rep. 2,Avg. Expression,Rep. A,Rep. B,Avg. Expression,Foldchange,qvalue
A830010M20Rik,NM_001007574,313,185,110,105,249,107.5,-2.31627907,0.006256405
Zfp58,NM_001007575,153,100,96,103,126.5,99.5,-1.271356784,0.060086361
Gucy2f,NM_001007576,0,3,0,0,1.5,0,0,0.531327076
Tceanc,NM_001007577,144,98,97,82,121,89.5,-1.351955307,0.23346816
Armcx6,NM_001007578,0,0,0,0,0,0,0,1
BC080695,NM_001007579,0,0,0,0,0,0,0,1
Fndc3c1,NM_001007580,1,0,0,1,0.5,0.5,1,1
2810408M09Rik,NM_001007581,541,367,232,218,454,225,-2.017777778,0.066944198
AY761184,NM_001007582,0,0,0,0,0,0,0,1
Best3,NM_001007583,2,1,1,1,1.5,1,-1.5,1
Gm11541,NM_001007584,3,2,1,1,2.5,1,-2.5,1
Akirin2,NM_001007589,704,452,603,576,578,589.5,1.019896194,4.27E-11
Rtn1,NM_001007596,0,0,0,0,0,0,0,1
Rtp2,NM_001008230,0,0,0,0,0,0,0,1
Daam2,NM_001008231,9,15,17,12,12,14.5,1.208333333,0.09008334
Asap3,NM_001008232,49,20,274,204,34.5,239,6.927536232,3.27E-83
Plekhn1,NM_001008233,80,53,649,656,66.5,652.5,9.812030075,1.42E-164
Bnip2,NM_001008238,362,261,233,264,311.5,248.5,-1.253521127,0.006035927
Aox3l1,NM_001008419,2,2,0,1,2,0.5,-4,1
Cdh12,NM_001008420,0,0,0,0,0,0,0,1
Nol10,NM_001008421,1044,726,1119,956,885,1037.5,1.172316384,4.88E-19
Scaf1,NM_001008422,1020,701,536,469,860.5,502.5,-1.712437811,1
Gm1568,NM_001008423,0,0,0,0,0,0,0,1
Cdsn,NM_001008424,8,7,2,0,7.5,1,-7.5,0.094232351
Thoc6,NM_001008425,233,173,206,189,203,197.5,-1.027848101,4.74E-06
Gm5531,NM_001008426,16,21,27,22,18.5,24.5,1.324324324,0.004463293
Gm5595,NM_001008427,42,28,7,12,35,9.5,-3.684210526,0.007910113
Fbxw20,NM_001008428,0,0,0,0,0,0,0,1
Taar3,NM_001008429,0,0,0,0,0,0,0,1
P2ry14,NM_001008497,0,0,23,27,0,25,0,5.64E-16
Wdr34,NM_001008498,401,322,128,116,361.5,122,-2.963114754,6.34E-09
Taar4,NM_001008499,0,0,0,0,0,0,0,1
Zfp760,NM_001008501,0,0,0,0,0,0,0,1
Bbs12,NM_001008502,247,159,53,50,203,51.5,-3.941747573,1.85E-11
Zc3h14,NM_001008506,1215,822,535,562,1018.5,548.5,-1.856882407,0.309479378
Adora1,NM_001008533,0,0,0,0,0,0,0,1
Mxi1,NM_001008542,2824,2130,418,447,2477,432.5,-5.72716763,4.03E-63
Mxi1,NM_001008543,2811,2113,417,436,2462,426.5,-5.772567409,9.36E-64
Tardbp,NM_001008545,5478,3469,2911,3003,4473.5,2957,-1.512850862,0.316587975
Tardbp,NM_001008546,5069,3194,2686,2777,4131.5,2731.5,-1.512538898,0.313705536
1700001J03Rik,NM_001008547,0,0,0,0,0,0,0,1
Pde2a,NM_001008548,224,145,48,51,184.5,49.5,-3.727272727,9.46E-10
Zfp658,NM_001008549,130,93,49,67,111.5,58,-1.922413793,0.603111436
Zfyve26,NM_001008550,1245,867,1465,1257,1056,1361,1.288825758,1.64E-25
BC085271,NM_001008551,0,0,0,0,0,0,0,1
Il4ra,NM_001008700,173,131,501,494,152,497.5,3.273026316,4.58E-75
Dab2,NM_001008702,3324,2013,1988,1784,2668.5,1886,-1.414899258,0.037503874
Bud31,NM_001008705,759,492,471,388,625.5,429.5,-1.456344587,0.224313154
Calm5,NM_001008706,0,0,0,0,0,0,0,1
Kbtbd8,NM_001008785,233,156,104,129,194.5,116.5,-1.669527897,1
Whrn,NM_001008791,57,50,8,11,53.5,9.5,-5.631578947,1.07E-06
Whrn,NM_001008792,57,50,8,11,53.5,9.5,-5.631578947,1.07E-06
Whrn,NM_001008793,57,50,8,11,53.5,9.5,-5.631578947,1.07E-06
Whrn,NM_001008794,42,34,5,9,38,7,-5.428571429,5.04E-05
Whrn,NM_001008795,42,34,5,9,38,7,-5.428571429,5.04E-05
Whrn,NM_001008796,35,29,4,8,32,6,-5.333333333,0.000287836
Whrn,NM_001008797,44,35,5,8,39.5,6.5,-6.076923077,1.22E-05
Whrn,NM_001008798,44,36,5,9,40,7,-5.714285714,1.67E-05
Tmem232,NM_001008973,1,0,0,0,0.5,0,0,1
4921501E09Rik,NM_001009544,0,0,0,0,0,0,0,1
Adam6b,NM_001009545,0,0,0,0,0,0,0,1
Naaladl1,NM_001009546,2,2,1,0,2,0.5,-4,1
Adam26b,NM_001009547,0,0,0,0,0,0,0,1
4930529F22Rik,NM_001009548,0,0,0,0,0,0,0,1
Zfp36l3,NM_001009549,0,0,0,0,0,0,0,1
Mup21,NM_001009550,0,0,0,0,0,0,0,1
Unc13d,NM_001009573,0,0,0,0,0,0,0,1
Taar5,NM_001009574,0,0,0,0,0,0,0,1
Armcx5,NM_001009575,186,103,216,158,144.5,187,1.294117647,2.81E-13
11-Sep,NM_001009818,4324,3016,3729,3452,3670,3590.5,-1.022141763,3.73E-12
A3galt2,NM_001009819,0,0,0,1,0,0.5,0,1
Smcr7,NM_001009927,172,108,82,76,140,79,-1.772151899,1
Brsk2,NM_001009929,0,0,0,0,0,0,0,1
Brsk2,NM_001009930,0,0,0,0,0,0,0,1
Txnip,NM_001009935,7652,4885,7851,7124,6268.5,7487.5,1.194464385,2.22E-24
Il19,NM_001009940,1,0,0,0,0.5,0,0,1
